,time,s1,s2,s3,s4,0
0,1398488891.011,406.82111396201464,414.7303999984189,373.1264427778008,375.7492306189309,392.6067968392913
1,1398488892.01,393.7796045084284,390.73040000080533,363.5689207384714,365.3646151843727,378.3608851080195
2,1398488893.997,370.9569629643436,378.73040000017966,360.3830800585339,358.44153822791316,367.12799531274254
3,1398488896.867,362.80601955588304,378.7303999983607,360.3830800585339,353.2492305108964,363.79218253091847
4,1398488897.866,369.32677428255266,390.73040000080533,363.5689207384714,358.4415382281755,370.5169083125012
5,1398488898.866,392.14941582663744,402.7303999996121,376.3122834572554,368.82615366247137,385.00456323649405
6,1398488899.866,414.9720573704752,414.73040000023786,385.86980549706766,384.403076814571,399.993834920588
7,1398488901.729,413.34186868893136,390.73040000080533,373.1264427778008,382.67230757539056,389.967754760732
8,1398488903.295,372.5871516461345,390.7303999989864,354.011398699142,351.5184612717159,367.2118529039947
9,1398488904.294,351.5033780292604,390.7303999989864,350.8255580192045,341.1338458371577,358.54829547115224
10,1398488906.436,357.9154535107573,378.73040000017966,360.3830800585339,348.05692279361733,361.27146409077204
11,1398488908.036,382.368283736386,390.73040000080533,369.94060209786335,370.55692290165194,378.39905218417664
12,1398488909.496,416.60224605201904,426.73039999904466,376.3122834572554,382.67230757539056,400.57930927092735
13,1398488911.502,397.0399818717632,390.73040000080533,366.75476141840886,368.8261536627337,380.8378242384278
14,1398488912.501,370.9569629643436,378.73040000017966,357.1972393790794,354.9799997500769,365.46615052341986
15,1398488913.5,356.39394407438607,378.7303999983607,350.8255580192045,341.1338458371577,356.77093698227725
16,1398488914.499,362.80601955588304,366.7303999995539,354.011398699142,348.05692279361733,357.90118526204907
17,1398488917.547,398.67017055355416,390.73040000080533,373.12644277731783,377.47999985811146,385.0017532974472
18,1398488919.044,397.0399818717632,414.7303999984189,376.3122834572554,379.2107690972919,391.82335860618235
19,1398488920.043,397.0399818717632,390.73040000080533,363.5689207384714,365.3646151843727,379.1759794488532
20,1398488921.042,385.6286610997208,402.7303999996121,357.1972393790794,354.97999974981445,375.13407505705663
21,1398488922.041,372.5871516461345,366.7303999995539,360.3830800585339,354.97999974981445,363.6701578635092
22,1398488923.996,367.69658560100874,378.73040000017966,354.011398699142,351.5184612717159,362.98921139301154
23,1398488925.548,372.5871516461345,378.73040000017966,357.19723937859646,358.4415382281755,366.7390823132715
24,1398488926.995,390.51922714484647,390.73040000080533,376.3122834572554,372.28769214083235,382.4624006859349
25,1398488927.995,395.4097931899722,414.7303999984189,376.3122834572554,372.28769214083235,389.68504219661975
26,1398488928.994,395.4097931902194,390.73040000080533,379.4981241371928,372.28769214083235,384.48150236726246
27,1398488930.413,393.7796045081813,402.7303999996121,360.3830800585339,361.9030767062741,379.6990403181503
28,1398488932.028,369.32677428255266,390.7303999989864,357.19723937859646,353.2492305108964,367.62591104275793
29,1398488933.028,366.06639691921777,378.73040000017966,357.1972393790794,354.9799997500769,364.24350901213836
30,1398488934.028,372.5871516461345,390.73040000080533,357.19723937859646,351.5184612717159,368.0083130743131
31,1398488935.027,385.6286610997208,390.73040000080533,363.5689207384714,356.710768988995,374.15968770699817
32,1398488936.426,388.88903846330265,390.73040000080533,369.94060209786335,374.0184613800128,380.894625485496
33,1398488939.188,383.99847241792975,390.7303999989864,360.3830800585339,354.97999974981445,372.5229880563161
34,1398488940.188,372.5871516461345,402.7303999996121,357.19723937859646,353.2492305108964,371.44100538380985
35,1398488941.188,370.9569629643436,390.73040000080533,360.3830800585339,354.97999974981445,369.2626106933743
36,1398488942.187,387.2588497815117,402.7303999996121,366.75476141840886,363.63384594519226,380.0944642861812
37,1398488943.954,388.8890384630556,390.73040000080533,360.3830800585339,363.63384594519226,375.9090911168968
38,1398488945.492,377.4777176912602,390.73040000080533,360.3830800585339,358.4415382281755,371.7581839946937
39,1398488946.491,369.3267742827997,390.73040000080533,363.5689207384714,356.710768988995,370.0842160027679
40,1398488948.026,379.1079063730512,390.73040000080533,369.94060209786335,363.63384594545454,375.8531886042936
41,1398488949.025,400.300359235098,402.7303999996121,376.3122834577383,368.8261536627337,387.0422990887955
42,1398488950.444,405.19092528022367,402.7303999996121,366.7547614179259,370.55692290165194,386.30825239985336
43,1398488952.018,366.06639691921777,378.73040000017966,350.8255580192045,354.9799997500769,362.65058867216965
44,1398488953.017,362.80601955588304,366.7303999995539,357.1972393790794,348.05692279361733,358.6976454320334
45,1398488954.016,361.17583087409207,378.73040000017966,354.011398699142,346.3261535544368,360.06094578196263
46,1398488955.015,369.32677428255266,402.7303999996121,366.7547614179259,354.97999974981445,373.44798386247624
47,1398488956.448,390.5192271450936,402.7303999996121,366.7547614179259,368.8261536627337,382.20763555634136
48,1398488959.205,387.2588497815117,390.73040000080533,363.5689207384714,361.9030767062741,375.86531180676565
49,1398488960.204,377.4777176912602,390.73040000080533,360.3830800585339,354.9799997500769,370.89279937516903
50,1398488961.203,370.9569629643436,378.73040000017966,360.3830800585339,354.9799997500769,366.2626106932835
51,1398488962.203,370.9569629643436,390.73040000080533,363.5689207384714,356.710768988995,370.4917631731538
52,1398488964.045,397.0399818717632,402.7303999996121,373.1264427778008,370.55692290165194,385.863436887707
53,1398488965.566,406.82111396201464,402.7303999996121,373.1264427778008,377.47999985784907,390.03948914931914
54,1398488966.565,395.4097931899722,390.73040000080533,369.94060209786335,367.0953844235533,380.79404492804855
55,1398488969.187,361.17583087409207,378.73040000017966,357.19723937859646,349.78769203253546,361.7227905713509
56,1398488970.186,357.9154535107573,366.7303999995539,354.011398699142,351.5184612717159,357.5439283702923
57,1398488971.717,370.9569629643436,378.73040000017966,350.8255580192045,354.9799997500769,363.87323018345114
58,1398488973.318,385.6286610997208,390.7303999989864,376.3122834577383,368.8261536627337,380.3743745547948
59,1398488974.317,403.5607365986799,426.73039999904466,376.3122834572554,374.0184613797505,395.1554703586826
60,1398488975.317,403.5607365986799,402.7303999996121,376.3122834577383,375.7492306189309,389.58816266874027
61,1398488976.316,398.6701705533071,390.73040000080533,366.7547614179259,368.8261536627337,381.245371408693
62,1398488979.44,370.9569629643436,402.7303999996121,357.1972393790794,353.2492305108964,371.03345821348285
63,1398488981.582,380.738095054595,390.73040000080533,366.7547614179259,358.44153822791316,374.16619867530983
64,1398488982.582,383.9984724181769,390.73040000080533,366.7547614179259,356.710768988995,374.5486007064758
